시설명,userid,평점,코멘트
금정구민체육관,flfmgn56q,5,가격 대비 만족도가 높습니다.
양주시 덕정탁구장,qpqofg3zw,3,가격 대비 만족도가 높았습니다.
청옥산휴양림,prkvqvvbb,1,가족 모두가 만족하지 않았습니다.
군포시청 부설주차장,axgxomr6y,2,주변 자연 경관이 좋지 않았습니다.
용인시 체육시설,qrmunxeqd,4,시설 이용이 매우 편리하고 좋았습니다.
강릉시 공영주차장,kcfxvefcy,2,서비스와 시설 모두 개선이 필요합니다.
증평군 공영주차장,lzkap2rdi,4,매우 만족합니다.
창원힘찬병원,yokxhfj0s,3,정말 훌륭한 시설입니다!
양주시 신천생활체육공원,dryruy45j,3,주차 공간이 넉넉해서 편리했어요.
중랑구 평생학습관,zzuwkd270,2,서비스와 시설이 매우 실망스러웠습니다.
인제군 장사시설,cachwh53x,1,주변 자연 경관이 좋지 않았습니다.
태백시 체육시설,snpqgc9oa,2,시설이 너무 붐비고 혼잡했습니다.
청주마이크로병원,idkqm7pdr,3,여기서 많은 추억을 만들었어요.
애니메이션박물관,zrmboppdj,2,시설이 낡고 깨끗하지 않았습니다.
원주의료원,ocxqukbgk,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
천안중앙직업전문학교,udweeg3ei,3,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
천관산휴양림,tayqyfgyr,2,아이들이 놀기에 안전하지 않았습니다.
여수전남병원,aocqv8eso,3,주차 공간이 넉넉해서 편리했어요.
365다담은 한방병원,uaebaxom2,4,시설이 매우 잘 관리되고 있었습니다.
원주의료원,zghezzj09,3,자연 경관이 매우 아름답습니다.
조은안과,eejxeq1qr,1,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
화홍병원,neibxchti,5,전망대에서 보는 풍경이 최고였습니다.
에스한의원-익산,cjhzvi3z8,2,다양한 시설과 편의시설이 부족했습니다.
대한안과의사회 조은눈 굿아이 안과 ,rwbjnr10g,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
1001안경콘택트 일도점,fkwzvbxsu,2,다양한 시설과 편의시설이 부족했습니다.
청주육거리자동차밧데리할인매장,jjpnhare5,2,다양한 프로그램과 활동이 부족했습니다.
커피놀이터,ffckcsazc,2,주변 경관이 별로였습니다.
V성형외과피부과,lhfofnm0v,2,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
양주시 덕정탁구장,rrhazr2t6,1,주차 공간이 부족했습니다.
거제식물원,rimoie7vb,4,서비스가 정말 좋았어요.
홍천군미술관,bfkkk81sd,1,친구들과 함께 가기에는 적합하지 않았습니다.
부평세림병원,kuccdwc8t,4,가격 대비 매우 만족스러운 경험이었습니다.
통영시 공설봉안당,orqde2mvc,2,전반적으로 만족스럽지 않았습니다.
청옥산휴양림,zuzvt0oay,4,시설 사용이 매우 편리했습니다.
성모병원장례식장,djlxf703g,4,아이들과 함께 즐거운 시간을 보냈어요.
통영시 보건소,bpdyu3ced,1,전망대에서 보는 풍경이 실망스러웠습니다.
옥천군 체육시설,tgtrqi9ty,3,전망대에서 보는 풍경이 최고였습니다.
의정부병원,vcchnq2wp,4,시설이 매우 깔끔하고 현대적이었습니다.
창명제어기술,vxjyng9z3,1,위치가 불편해서 접근성이 떨어졌습니다.
울산시 체육시설,clxotret1,5,뷰가 정말 아름다웠어요!
곡성군 청소년야영장,usnwo4us9,5,서비스와 시설 모두 훌륭했습니다.
인천광역시 미추홀구 보건소,lwulzx82c,3,가족과 함께 즐거운 시간을 보냈습니다.
장령산자연휴양림,rnbryk2bd,5,여기서 많은 추억을 만들었어요.
금성제지기계,sqhqwenlu,2,서비스와 시설 모두 개선이 필요합니다.
서산시 보건소,irxzxviap,1,시설 이용이 불편했고 안내가 부족했습니다.
창원짚트랙,zlvvqyfgw,1,여름에는 너무 더웠습니다.
아리즈웰,qifrkrc2d,1,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
조은금강병원,umtxqutpj,1,자연 경관이 좋지 않았습니다.
상주시 낙동강자전거이야기촌,svrgwjrh1,4,가격 대비 만족도가 높습니다.
환선굴,qfcclsdg5,5,다양한 활동을 즐길 수 있어서 좋았어요.
대명콘도 제주 ,eexkp7stl,2,편안하고 조용한 분위기가 아니었습니다.
장령산자연휴양림,gponyzy9n,3,위치가 좋아서 접근성이 뛰어납니다.
태웅식품 주  ,twclbkqfh,2,시설 관리가 잘 안되고 있었습니다.
옥천군 여성회관,vmygjjs27,4,시설 내부가 넓고 쾌적합니다.
한밭직업전문학교,omvml13n3,4,휴식을 취하기에 최적의 장소입니다.
철원병원,tyhuaa2a8,1,시설 이용이 불편했고 안내가 부족했습니다.
V성형외과피부과,lxxpa0t7j,5,환경이 매우 청결하고 좋았습니다.
양주시 덕정돔구장,ouxrk0nu1,5,휴식을 취하기에 최적의 장소입니다.
상주시 농기계임대사업,jzaquzlcc,1,시설 사용이 매우 불편했습니다.
대한안과의사회 한길안과병원 ,vcecj8iro,2,조금 붐비긴 했지만 전체적으로 만족합니다.
영월군 주차장,pakdqgdx9,5,전체적으로 기대 이상이었습니다.
인천광역시 연수구 공영주차장,ewddt26u7,3,자연 경관이 매우 아름답습니다.
해피뷰병원,butqm0wdy,4,주변 경관이 아름답습니다.
용인대학교,izuzdc6ql,1,아이들이 놀기에 안전하지 않았습니다.
한림정낭장례식장,daxswudqm,3,친구들과 함께 와서 즐거운 시간을 보냈습니다.
관악구 체육시설,qyvwcms0d,1,자연과의 접촉이 부족했습니다.
금호콘도 충무 ,ikporovyw,1,서비스가 불만족스러웠습니다.
남해군 원예예술촌,yhilyipfl,1,서비스와 시설 모두 개선이 필요합니다.
닥터유치과,etldmdodt,3,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
대야산자연휴양림,evhenrklh,3,아이들과 함께 즐거운 시간을 보냈어요.
퍼스트짐 휘트니스,ttoceptjj,5,깨끗하고 정돈된 환경이 좋았습니다.
동산병원,nyjiqynss,2,시설이 매우 실망스러웠습니다.
한림정낭장례식장,ljjcrfsa5,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
안산시 체육시설,cxjow5et5,1,전반적으로 만족스럽지 않았습니다.
건국대학교 병원,xaxlq62ry,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
대구시티병원,vyueqny3z,2,시설이 조금 낡았지만 여전히 좋았습니다.
상주시민운동장,kxtket4om,2,다양한 프로그램과 활동이 부족했습니다.
미천골휴양림,uqgofa60o,5,전망대에서 보는 풍경이 최고였습니다.
거제시 추모의집,qvbmz7gpd,5,가족 모두가 만족한 여행이었습니다.
고양시 공영주차장,jkjfo5xj9,5,시설이 매우 잘 관리되고 있었습니다.
철원군 병영체험수련시설,dbotibyu6,3,여기서 많은 추억을 만들었어요.
대한안과의사회-세종우리성모안과,yshql5eom,4,직원들이 친절하고 도움이 많이 되었습니다.
춘천 삼악산 호수케이블카,ratdhr1v9,3,편리한 위치에 있어 접근하기 쉬웠습니다.
의정부시 보건소,xtrqpieg1,4,주차 공간이 넉넉해서 편리했어요.
수원시 사회복지시설,yrwamswj1,4,시설 관리가 잘 되어 있었습니다.
성모안과병원,qjodhjj1j,4,가족과 함께 즐거운 시간을 보냈습니다.
김포시 국제조각공원,oreufn9im,2,가격 대비 만족도가 낮았습니다.
우리안과,fguva92nh,1,조금 아쉬운 부분이 있었어요.
성남시 주민자치센터,cazpcg2vz,1,환경이 청결하지 않았습니다.
우리안과,dwupob1cz,4,자연과 함께하는 시간이 힐링이 되었어요.
메트로병원,hiwvhp9qf,2,조금 붐비긴 했지만 전체적으로 만족합니다.
해남군 공영주차장,bfwmszsh8,1,뷰가 별로였습니다.
상주시 낙동강자전거이야기촌,ceums72zd,5,서비스와 시설 모두 훌륭했습니다.
의정부환한미소치과의원,cnzhpo6tl,5,자연과 함께하는 시간이 힐링이 되었어요.
오륜동 풋살장,tajocjg4s,5,다시 방문하고 싶어요.
경희대스포츠클리닉,utlxvq0gz,5,가성비가 좋습니다.
가평군 조종생활체육공원,ihcju6zz3,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
무안 종합스포츠파크 실내수영장,kyekr8ncx,2,전망대에서 보는 풍경이 실망스러웠습니다.
부산광역시 서구 공영주차장,mplftnmk5,4,다양한 시설과 편의시설이 있어 매우 편리했습니다.
크롬웰안경,keykymcaz,5,한 번쯤은 꼭 가볼 만한 곳입니다.
김포우리병원,gvpvmd3yl,4,시설 관리가 잘 되어 있었습니다.
선릉,jpthma5uz,4,시설 내 편의시설이 잘 갖춰져 있었습니다.
에타,jaivdji6z,4,주차 공간이 넉넉해서 편리했어요.
상주시민운동장,lqdvagwhn,5,다시 방문하고 싶어요.
대한안과의사회 목동 연세안과 ,shivn2e5n,1,아이들과 함께하기에는 불편한 점이 많았습니다.
강서구 체육시설,aemicrvvk,2,가족 모두가 만족하지 않았습니다.
포항성모병원,metbie4fu,1,음식이 별로 맛있지 않았고 메뉴가 부족했습니다.
동대문구 서울한방진흥센터,bvqpjevp4,2,친구들과 함께 가기에는 적합하지 않았습니다.
한림공원,phhle53qb,1,시설 내 모든 것이 정비되지 않았습니다.
대한안과의사회-우리안과,amaom6qih,2,직원들이 조금 더 친절했으면 좋겠습니다.
강서구 체육시설,emgcore6y,1,직원들이 조금 더 친절했으면 좋겠습니다.
제일장례식장,mfrwvs024,4,전체적으로 기대 이상이었습니다.
 주 천지장례식장,wfupu5utu,2,조금 아쉬운 부분이 있었어요.
유어스호텔,ouuiw7qvr,1,편안하고 조용한 분위기가 아니었습니다.
상주시 승천원,akjkxlngn,4,체험 프로그램이 매우 유익했습니다.
진천군립 생거판화미술관,qxjmsvfaf,1,시설 이용이 불편했고 안내가 부족했습니다.
인천유나이티드FC,ymmofjc31,2,활동이 다양하지 않았습니다.
군포시 청소년수련시설,ukqjw44w4,4,아이들과 함께 즐거운 시간을 보냈어요.
대전병원,utxtyvy8c,4,재방문 의사 있습니다.
스타사진관,zeyzzitq0,3,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
부민장례식장,iojcl34cq,3,위치가 좋아서 접근성이 뛰어납니다.
충남 홍성의료원,sybeb28qn,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
금왕태성병원,ugzzoso42,2,가격 대비 만족도가 낮았습니다.
진천 종박물관,dcdyb3x22,1,친구들과 함께 가기에는 적합하지 않았습니다.
대구사격장,zxvxxt1vj,2,가격 대비 만족도가 낮았습니다.
거제박물관,pkamsneme,4,시설이 매우 잘 관리되고 있었습니다.
가평군 조종생활체육공원,fqjbpn45m,3,휴식을 취하기에 최적의 장소였습니다.
혜성병원,guzkp1nu4,2,아이들과 함께하기에는 불편한 점이 많았습니다.
동대문구 체육시설,oegnm1wlg,4,전체적으로 기대 이상이었습니다.
안경세상,uugou0qz0,1,편의시설이 부족했습니다.
제주세계자연유산센터,smqoo3rtu,2,직원들이 조금 더 친절했으면 좋겠습니다.
정선공영주차장,jvmor52lf,2,다양한 활동과 프로그램이 부족했습니다.
굿모닝백이안과,qmqpl09qg,4,시설 사용이 매우 편리했습니다.
상주성모병원,fhoztgwpt,4,휴식을 취하기에 최적의 장소입니다.
창녕오리정운동장,misvj6opq,3,서비스와 시설 모두 훌륭합니다.
인천광역시 남동구 공영주차장,cjtjp24p1,1,편의시설이 부족했습니다.
강원도민프로축구단,wizqn1g6i,3,주변 경관이 아름답습니다.
강릉 아나병원,uprmfqb6c,4,서비스와 시설 모두 훌륭했습니다.
전주자연생태박물관,wrwzl7yhm,1,서비스가 불만족스러웠습니다.
조은소리보청기대구점,zrvjh30lp,2,서비스가 불만족스러웠습니다.
통영시 보건소,jxdkbymkp,1,체험 프로그램이 유익하지 않았습니다.
성남시 주민자치센터,jjavdnjjx,1,주변 자연 경관이 좋지 않았습니다.
대한안과의사회-천안김안과 천안역본점,femrdsqlp,4,서비스와 시설 모두 훌륭했습니다.
양주시 국민체육센터,cjowuiulp,2,시설이 낡고 깨끗하지 않았습니다.
낙안민속휴양림,kzdvq3q0x,4,체험 프로그램이 매우 유익했습니다.
청남대,woxtdzju8,3,가격 대비 매우 만족스러운 경험이었습니다.
서대문형무소역사관,vkffnyhii,5,아이들과 함께 즐거운 시간을 보냈어요.
동의과학대학교 디지털평생학습원,xaxxixjs8,3,매우 만족합니다.
강릉오죽헌,jvxhsjtrs,5,재방문 의사 있습니다.
보성차밭 빛축제,rtboftoiy,4,서비스가 정말 좋았어요.
양주예쓰병원,xwzhs0au0,5,자연 경관이 매우 아름답습니다.
대한안과의사회 전주 푸른안과 ,pevcmi6gs,3,서비스가 매우 친절하고 전문적이었습니다.
영광군 공영주차장,hzjjjffmp,2,시설 관리가 잘 안되고 있었습니다.
SKY하늘안과의원,uuexqehgk,1,시설 내부가 좁고 불편했습니다.
보성군청소년수련원,vxtwin88f,3,시설 이용이 매우 편리하고 좋았습니다.
덕수궁,xfgxkd2jk,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
루가의료재단 나은병원,tfplhgal3,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
효성병원,wlhrrlvl4,4,다음에 또 오고 싶어요.
제천 의림지 역사박물관,sfkzbgnz8,4,편리한 위치에 있어 접근하기 쉬웠습니다.
대구사격장,hnpbhopp4,3,시설 사용이 매우 편리했습니다.
시흥시 공영주차장,hpjyoszbk,1,뷰가 별로였습니다.
한국프로사진협회,brawopmfp,1,시설이 낡고 깨끗하지 않았습니다.
중랑구 보건소,pjhygumph,2,시설 이용이 매우 불편했습니다.
DW아카데미학원,zodrftsr6,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
대산미술관,wdehdpesl,2,전반적으로 만족스럽지 않았습니다.
구리시 공영주차장,linfx371m,5,가격 대비 만족도가 높습니다.
관악구 보건소,haezm0g8n,5,깨끗하고 편안했어요.
양평시네마,vwrwkpt48,3,다양한 활동과 프로그램이 있어 좋았습니다.
철원군 화강문화센터,nvuwts1jl,2,위치가 불편해서 접근성이 떨어졌습니다.
구리국민체육센터,vdcho0ev1,1,청결한 환경이 아니었습니다.
대한안과의사회 소중한빛안과 ,atvvl7h6v,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
가평군 주민자치센터,mpbei6v70,1,시설의 청결 상태가 불만족스러웠습니다.
베일리수 스튜디오 광주점,xcyuqmuy2,3,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
청주자생한방병원,xkxbvr0v8,5,환경이 매우 청결하고 좋았습니다.
파주시평생학습관,dsjtgk5nv,3,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
